feature,importance
cp,0.14481001544434763
oldpeak,0.11761774980351723
thal,0.11593083234641312
thalach,0.11444138412372176
ca,0.09140146667698193
chol,0.0900535022055369
age,0.08260930857201244
trestbps,0.07171527423276126
exang,0.05759430582396358
slope,0.05504134424344675
sex,0.030114054108367032
restecg,0.02014520644102053
fbs,0.00852555597790987
